Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
15905f1afcd2bb4f35fc689a62ca5421d2a08d627b18438d7cdf3e6621369168,2021-10,Gwent Police,Gwent Police,,,No location,,,Formal action is not in the public interest
d2e175b91665387ddcff4bb9aba0144dea750040d78ddcb0ceecb0352cff3e99,2021-10,Gwent Police,Gwent Police,-3.159970,51.767368,On or near Supermarket,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
50e48bfde26861fe1bfc8c6ea4f1bd327b81b62ba2ace937b8a3510acba03e98,2021-10,Gwent Police,Gwent Police,-2.975933,51.588824,On or near OXFORD STREET,W01001612,Newport 011B,Investigation complete; no suspect identified
0ac8af28c6ddfed818df74d6279daa719b9c94b2d99ad886de2cc5c7197c9e3d,2021-10,Gwent Police,Gwent Police,-2.945795,51.586121,On or near ABERTHAW AVENUE,W01001609,Newport 015B,Investigation complete; no suspect identified
fc402d5faa281d8c1c51dd6e64a3e5f2b63b8b9b393db493ea5fd41690ee8db9,2021-10,Gwent Police,Gwent Police,-3.020105,51.655876,On or near PLAS CRAIG,W01001519,Torfaen 007A,Investigation complete; no suspect identified
a913e35d0994663f54ebf036c67ee0b71c5667e62d83db410eb4bec815a5f8a1,2021-10,Gwent Police,Gwent Police,-2.943157,51.596753,On or near KIER HARDIE CRESCENT,W01001665,Newport 008D,Investigation complete; no suspect identified
ee9542f7f6c41b735f021bbff285db8200854d6dc3c76e2c88883cddd9ad6dee,2021-10,Gwent Police,Gwent Police,-2.994487,51.587085,On or near Supermarket,W01001687,Newport 014D,Investigation complete; no suspect identified
2a6789015fda48a260e9bd31d79abfcc190babb34cef7d0e61f37d69d20512c7,2021-10,Gwent Police,Gwent Police,-3.028115,51.643173,On or near CAE DERWEN,W01001532,Torfaen 010E,Investigation complete; no suspect identified
1c71311a815352d07dcf0fe3a1da203ae1ad4a22f19136602def697d18821b5a,2021-10,Gwent Police,Gwent Police,-0.381078,52.575717,On or near MANOR ROAD,E01015627,Peterborough 018A,Investigation complete; no suspect identified
b6fca9854cd5a5ff64f0025cf0b1852c86075d904231db634c640cc5f46194bf,2021-10,Gwent Police,Gwent Police,-3.143671,51.664871,On or near Parking Area,W01001383,Caerphilly 010D,Investigation complete; no suspect identified
c8666efd88b28ba43010058f38ab35ab4dab0b0d36e54fcc4b11e24850ea7469,2021-10,Gwent Police,Gwent Police,-3.232326,51.645928,On or near OLD SCHOOL GRANGE,W01001365,Caerphilly 012C,Investigation complete; no suspect identified
9d2bb9549c99f4d355096d3a14194909e8329b2d1520c27973ab84496a9c0964,2021-10,Gwent Police,Gwent Police,-2.674355,51.642645,On or near MIDDLE STREET,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
6f206d3440747230e4f3d910c3851cecc1cfd993b3355d46b73efc9d19f7202f,2021-10,Gwent Police,Gwent Police,-3.247728,51.776144,On or near GELLI CLOSE,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
36447a2438869050bd4ea39dae2b0641350b8a1046d3b749eb20cf714b8e708f,2021-10,Gwent Police,Gwent Police,-3.228960,51.689231,On or near HANBURY ROAD,W01001338,Caerphilly 004C,Investigation complete; no suspect identified
432a4d469e928ff64a826c2b217ec517d0fb0c1a00db19f72597fc68edcc9fd0,2021-10,Gwent Police,Gwent Police,-2.729764,51.813499,On or near BROOK CRESCENT,W01001553,Monmouthshire 004B,Investigation complete; no suspect identified
15f288d216bf02cf736fcaf2f488594e040687570d6107e3b732507537d76b7f,2021-10,Gwent Police,Gwent Police,-2.962660,51.588466,On or near CAREY ROAD,W01001608,Newport 008B,Investigation complete; no suspect identified
6650bbab62f88058fe5da93cf2a090243ecf1d037ecb573364fd6ff0703f3ab8,2021-10,Gwent Police,Gwent Police,-2.705876,51.815632,On or near OLD DIXTON ROAD,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
ae3488823097a6355cc142789f89de94136592f38a84473ce05795652f6d9d94,2021-10,Gwent Police,Gwent Police,-2.999696,51.590296,On or near PENTONVILLE,W01001603,Newport 012C,Investigation complete; no suspect identified
73659b9cbb0a92017110cb52de02e5ff2f6618841114dd87f755f9d2d0370c5d,2021-10,Gwent Police,Gwent Police,-3.117841,51.685737,On or near CEFN CRIB ROAD,W01001359,Caerphilly 006D,Investigation complete; no suspect identified
65d1c936ba5dc323038bbe64aefe323e4c5da059b3e27824944673fa23e0b7da,2021-10,Gwent Police,Gwent Police,-3.220867,51.792718,On or near A4047,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
ed40147ad913185cae3e789fd3f55322c31a80f8ddebc5875fd29a440f599479,2021-10,Gwent Police,Gwent Police,-2.969571,51.584246,On or near LUDLOW CLOSE,W01001643,Newport 013B,Investigation complete; no suspect identified
d8bc33a821fd93417da1b4d9b9faa3d97559fd868a6423e3f3fab5e9d790d410,2021-10,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
641a3224b87ff563228be463ecc5ee43385dcde56ead4a39042e3c0dd6797f2c,2021-10,Gwent Police,Gwent Police,-3.238972,51.591197,On or near HEOL-Y-GOGLEDD,W01001400,Caerphilly 019F,Investigation complete; no suspect identified
b5b934b650d0ed52b0cfb617085f846a75ffca059524f89a468715aad4d4a373,2021-10,Gwent Police,Gwent Police,-3.194449,51.668088,On or near Parking Area,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
2c4b33932796493dcbcf3818b96b2cffa19123343e55051082d93b79dc2dd988,2021-10,Gwent Police,Gwent Police,-3.232993,51.765195,On or near WHITWORTH TERRACE,W01001463,Blaenau Gwent 006B,Investigation complete; no suspect identified
669c7ea01a395f6147fecfe5afd8af992851e226bc77d84c3597729faf28170f,2021-10,Gwent Police,Gwent Police,-3.034380,51.576787,On or near GOLDEN MILE VIEW,W01001671,Newport 016D,Investigation complete; no suspect identified
39d86c9bf7a62d24fe5a2d49114ba9aea61312ea009617bf5031c13b942cf07d,2021-10,Gwent Police,Gwent Police,-2.995268,51.589803,On or near A4042,W01001685,Newport 014B,Investigation complete; no suspect identified
954ba05c52b4d75f2fb1ccc72ac0725de271fb6d4be1a15065371e55b0ec790d,2021-10,Gwent Police,Gwent Police,-3.194860,51.669954,On or near Supermarket,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
a7425248ac554dfcd1848d2e3e786cf86fb024eceab3eb0c39fe9cd9a60ec341,2021-10,Gwent Police,Gwent Police,-3.008296,51.596652,On or near ALLT-YR-YN CRESCENT,W01001600,Newport 012A,Investigation complete; no suspect identified
1ece5bedd9dd09b834b1380551861074e6139cb07e01b5c59d2216c5efeba43f,2021-10,Gwent Police,Gwent Police,-3.134105,51.729325,On or near KING STREET,W01001436,Blaenau Gwent 008B,Investigation complete; no suspect identified
32119d20978094c33faf5f6769728f0933ba5f44bea99061db0d3856c5457c77,2021-10,Gwent Police,Gwent Police,-3.281266,51.746893,On or near UNION STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
92e4ffa456c438b6f0192177a9aa03b7d4aacfebcd022bab883d3b4055764f2c,2021-10,Gwent Police,Gwent Police,-3.007415,51.616207,On or near Petrol Station,W01001651,Newport 002A,Investigation complete; no suspect identified
9bf3daf653b4f7676799644443243ef18559d045dfe41b46610849c9c7d16855,2021-10,Gwent Police,Gwent Police,-3.023079,51.822389,On or near TRINITY STREET,W01001557,Monmouthshire 001C,Investigation complete; no suspect identified
78339712530e99f7ea80033ce315814052dbb38a0d55eea95d2ad4ddc560763f,2021-10,Gwent Police,Gwent Police,-3.004018,51.569632,On or near GREENWICH ROAD,W01001660,Newport 018B,Investigation complete; no suspect identified
2de7d05257d9ebc814c2443003e37d53345238c78da19625b05bc7a8b904ea89,2021-10,Gwent Police,Gwent Police,-3.043589,51.704638,On or near Parking Area,W01001524,Torfaen 004D,Investigation complete; no suspect identified
6e42621ec3843d242ebe6f3bbb1b9684ea88d8053090d161fba0274c4781a2f5,2021-10,Gwent Police,Gwent Police,-3.230332,51.682761,On or near ALFRED STREET,W01001339,Caerphilly 004D,Investigation complete; no suspect identified
349c5726f0ae94b7f7f87fa19c5eda689006e7e505a7f2b23a0c0884b26714fb,2021-10,Gwent Police,Gwent Police,-2.880839,51.614249,On or near A48,W01001641,Newport 004C,Investigation complete; no suspect identified
d849813495801ce52a387c16c86303f2baeb12daa34c1f23dbcac309575afb17,2021-10,Gwent Police,Gwent Police,-2.702149,51.808254,On or near WYESHAM ROAD,W01001599,Monmouthshire 004F,Investigation complete; no suspect identified
26cf5d562bd1e557ca340df8238c51c80672230aec2dd61464f76695f358cd9f,2021-10,Gwent Police,Gwent Police,-3.209074,51.770317,On or near ANGEL SQUARE,W01001459,Blaenau Gwent 007D,Investigation complete; no suspect identified
890b8db6e035e8a62838dafd029307fb7883fd60b98c1a3810f89153bf0c3890,2021-10,Gwent Police,Gwent Police,-3.334354,51.607631,On or near NEWBRIDGE COURT,W01001258,Rhondda Cynon Taf 019E,Investigation complete; no suspect identified
c230b1e18bf10252b670b1b87b54fd7ee2c0c466ba3467c8e7a0464ff460a2f1,2021-10,Gwent Police,Gwent Police,-3.040624,51.635932,On or near BRYNGLAS,W01001535,Torfaen 012D,Investigation complete; no suspect identified
12f9a8a203cf06f2a7d0ded9ebff8c9bf0d640bf0a95af5c58e895fa60b01c1e,2021-10,Gwent Police,Gwent Police,-3.018342,51.608811,On or near BETTWS CLOSE,W01001618,Newport 003B,Investigation complete; no suspect identified
1e433fe6d52aa83786d74f8d0ce2c835610faac39e90bc9f42cd8afe48e8c4fa,2021-10,Gwent Police,Gwent Police,-2.990190,51.591276,On or near EAST USK ROAD,W01001693,Newport 013E,Investigation complete; no suspect identified
e26792d45c5d8cf2f07eb8ec3c1a3b02d35ba40cf51c95549395cd5e0ac903a4,2021-10,Gwent Police,Gwent Police,-3.015164,51.567316,On or near MAESGLAS GROVE,W01001634,Newport 019B,Investigation complete; no suspect identified
80e21ebe9380e57f0474322a6ec1ef494af8cbd68f4df97820a169b3271c210f,2021-10,Gwent Police,Gwent Police,-3.009492,51.606307,On or near MOXON ROAD,W01001654,Newport 002D,Investigation complete; no suspect identified
1674d04553d5ffdaddecc388d475b09d92252697b7ae7bf6129f912e65b9e2f0,2021-10,Gwent Police,Gwent Police,-3.287161,51.763670,On or near COLENSO TERRACE,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
ba4dc001843fd3beba784c05a1cbffacc5cd86af77fa8a52270e293e9b4e8b22,2021-10,Gwent Police,Gwent Police,-2.989085,51.571629,On or near BRUNEL STREET,W01001660,Newport 018B,Investigation complete; no suspect identified
6a07a7c346df82a17b55825d0d6a1a6d0958330b8b2655e6bbe18695650c25b7,2021-10,Gwent Police,Gwent Police,-3.246665,51.775957,On or near Supermarket,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
9f9722665253f61c4a0d4adca1be71f5b0e00a77ba682b83c747f1994d7d3de8,2021-10,Gwent Police,Gwent Police,-3.048490,51.553445,On or near CHURCH CRESCENT,W01001913,Newport 020F,Investigation complete; no suspect identified
e10c30ce97fc77641c51c429df3c36e724eb4c73ba8e649a8e1b8ac825ae3b95,2021-10,Gwent Police,Gwent Police,-3.020026,51.579574,On or near HIGHFIELD ROAD,W01001631,Newport 017C,Investigation complete; no suspect identified
89a8bd91900e000f2f10817c8c6ac5ef3801f44fca17f8c1fbe7cdf65f1b1bce,2021-10,Gwent Police,Gwent Police,-3.052446,51.710862,On or near STRYD Y BRYN,W01001529,Torfaen 003B,Investigation complete; no suspect identified
12c63ee5491f440a0be668f045b69fc161f3ee00354b8d89f411594ae0acef66,2021-10,Gwent Police,Gwent Police,-3.079400,51.603356,On or near HERBERT AVENUE,W01001408,Caerphilly 016B,Investigation complete; no suspect identified
806757361a324a7db4ff33c4cd4bf9d0a63a8bdf854b6cdc542eb10610f53c82,2021-10,Gwent Police,Gwent Police,-3.247272,51.772219,On or near QUEEN VICTORIA STREET,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
e493df01b4cd36ed655d00766bfe82db00238722b0d42dc947d9e08e304f026f,2021-10,Gwent Police,Gwent Police,-3.084161,51.772731,On or near Parking Area,W01001489,Torfaen 001C,Investigation complete; no suspect identified
6d91bdff62a71df049737bf5658bb3e3e0dcb61714630191c8138ace5994188e,2021-10,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
71e8c319708469095b392a5367d47c91967478ff876d6871b5429b4f491a3b94,2021-10,Gwent Police,Gwent Police,-3.008958,51.565957,On or near Pedestrian Subway,W01001633,Newport 019A,Investigation complete; no suspect identified
6cddc5c8ae74465ab5b37828208167dc0dd7a62a4a77a264ba94b9158ec30c18,2021-10,Gwent Police,Gwent Police,-2.981244,51.598167,On or near CAERLEON ROAD,W01001680,Newport 007E,Investigation complete; no suspect identified
32776ad0464b33abca4879805157315c4c6d664ae5a99081ac285876dddc2ce5,2021-10,Gwent Police,Gwent Police,-2.974523,51.587676,On or near SOHO STREET,W01001612,Newport 011B,Investigation complete; no suspect identified
81b4d9471184aaaadf145039bb38eb63265106695f0217a737e20c7b1d4f5609,2021-10,Gwent Police,Gwent Police,-2.989754,51.589805,On or near BERESFORD ROAD,W01001693,Newport 013E,Investigation complete; no suspect identified
60e590bffbfc04ae2d5cad10cee988f6a898733545d76a05206c864fb51e54de,2021-10,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
b219c8521bfcae3dae8855d5d79d1a7bca07b599b0feb0bbe31dea1ea9648e9f,2021-10,Gwent Police,Gwent Police,-3.137903,51.650495,On or near ROYAL CLOSE,W01001327,Caerphilly 014A,Investigation complete; no suspect identified
2002d046c4975e7b89978b186eabc4d8d5a87fa4761b51f7a78051e0844f7893,2021-10,Gwent Police,Gwent Police,-3.216289,51.579142,On or near LAWRENCE STREET,W01001373,Caerphilly 022C,Investigation complete; no suspect identified
94f20d331319e6bbe83cecc9a55f03539f685e3935f8ca235bb96fa79a781c66,2021-10,Gwent Police,Gwent Police,-3.232523,51.589745,On or near HEOL PWLLYPANT,W01001393,Caerphilly 019D,Investigation complete; no suspect identified
470300df52a2f7a8310edf1e01e67067e8aadedc3166ed4cb3a93bc2772eb391,2021-10,Gwent Police,Gwent Police,-3.214638,51.786444,On or near Supermarket,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
