Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f1c3aa8fffb8af9057a0405a9f1857a415b8363bda92c70f1488d66e9ce1100b,2020-04,Gwent Police,Gwent Police,-3.034928,51.614214,On or near TORRDGE ROAD,W01001621,Newport 003E,Investigation complete; no suspect identified
ddc30f0de33ba28a3417f8f8be6d61caf03118f45121bcb36144768489e342ac,2020-04,Gwent Police,Gwent Police,-3.020694,51.653146,On or near Pedestrian Subway,W01001506,Torfaen 010A,Investigation complete; no suspect identified
0db23f7dabeff204bf94a5a5163af97a3f04850dfc09cb39fbd1ee06670f80e9,2020-04,Gwent Police,Gwent Police,-2.969860,51.886543,On or near WERNGIFFORD,W01001548,Monmouthshire 001B,Investigation complete; no suspect identified
af273a3bc73bdfec64a95eea6e8af78b14de4eb8204a135c1af7b495c01e3b77,2020-04,Gwent Police,Gwent Police,-2.973000,51.618421,On or near HIGHFIELD ROAD,W01001627,Newport 001E,Investigation complete; no suspect identified
4cb4ddcd9d8f0418a31ec426382249fdcaca79dd5184264426d8a41a92a2059e,2020-04,Gwent Police,Gwent Police,-2.973000,51.618421,On or near HIGHFIELD ROAD,W01001627,Newport 001E,Investigation complete; no suspect identified
02925af4af2e95d2dd2123e2da3b5dd1cd0585ceeed7e02c6ad2bc001ce4b26e,2020-04,Gwent Police,Gwent Police,-3.223033,51.580394,On or near CELYN GROVE,W01001370,Caerphilly 023A,Investigation complete; no suspect identified
2cf1f7a412d6353f268f27d640de6ae57aba6f26f72c4d74ee86509807bc7685,2020-04,Gwent Police,Gwent Police,-3.006292,51.577175,On or near GAER STREET,W01001686,Newport 014C,Investigation complete; no suspect identified
73567a90f2a08599e6dc1b10c512f1c3d955fce7d47b32882834b1feff7e5edf,2020-04,Gwent Police,Gwent Police,-3.039160,51.643957,On or near NOLTON PLACE,W01001532,Torfaen 010E,Investigation complete; no suspect identified
be0d748a45c1503cf6201398f25843a6b60c65100508c1b13163b01a87db7239,2020-04,Gwent Police,Gwent Police,-2.973000,51.618421,On or near HIGHFIELD ROAD,W01001627,Newport 001E,Investigation complete; no suspect identified
cba01236990a193584a2c41f33df1a855853b44b34efb18bfdb3b2a48910c92e,2020-04,Gwent Police,Gwent Police,-3.017121,51.611034,On or near MEON CLOSE,W01001618,Newport 003B,Investigation complete; no suspect identified
c45b4ac9797330e42bf30c43f9aae6b9c8183af03d6440747524766867244a59,2020-04,Gwent Police,Gwent Police,-3.108872,51.614681,On or near CRESCENT ROAD,W01001411,Caerphilly 017A,Investigation complete; no suspect identified
0368dcd7cce3069261be4a3394ff8c3dc109115cc6be0bbb5217abffbfd4ec07,2020-04,Gwent Police,Gwent Police,-2.992661,51.578802,On or near CHARLOTTE STREET,W01001662,Newport 018D,Investigation complete; no suspect identified
41e9e11e0bedc6a290543e87bf9fca48a19cea42a9cfadcefdfff2faf0340ee4,2020-04,Gwent Police,Gwent Police,-3.030048,51.823201,On or near HATHERLEIGH PLACE,W01001557,Monmouthshire 001C,Investigation complete; no suspect identified
abd691c667ca32d2447faae842b1b1f34e02e69a6e0c05b8425a6465186b3d1f,2020-04,Gwent Police,Gwent Police,-3.218853,51.688905,On or near TY FRY ROAD,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
f5d612d1e927e38b12eee9427e54399e49f7027acddf24ed32f44400cb4ee7a3,2020-04,Gwent Police,Gwent Police,-3.021079,51.557032,On or near Supermarket,W01001689,Newport 019D,Investigation complete; no suspect identified
8c123559a5133b155bea3523196c466324287be483bc6e43b3e5b94bbea553f5,2020-04,Gwent Police,Gwent Police,-2.970021,51.579620,On or near Petrol Station,W01001644,Newport 013C,Investigation complete; no suspect identified
e5963e17967fc18a6970df6283df1d996101a93e7fd745a1d11352c5a3fb8e13,2020-04,Gwent Police,Gwent Police,-2.977310,51.582365,On or near LIBERTY GROVE,W01001644,Newport 013C,Investigation complete; no suspect identified
df04925a29ae08d519665f40c42cd7cf78fb47724d76ecb271e9038826431077,2020-04,Gwent Police,Gwent Police,-2.939750,51.596034,On or near Petrol Station,W01001663,Newport 008C,Investigation complete; no suspect identified
5bedeaeab3c33057d8cb7ff21d64cec8b3b032da396c8289c88323f9e17f8871,2020-04,Gwent Police,Gwent Police,-3.243051,51.637488,On or near PEN-Y-CAE,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
0bcc6a55430a0799da34f0807c840ac0b18340651900b3aa676c6bb6c8617c1b,2020-04,Gwent Police,Gwent Police,-3.243101,51.635617,On or near COEDCAE,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
ea1550977dfab6511459ab3e865d89412ed956fc66f82c4883d0e2f88360393b,2020-04,Gwent Police,Gwent Police,-3.187714,51.625635,On or near BRIDGE STREET,W01001430,Caerphilly 015B,Investigation complete; no suspect identified
