Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c041446ac84c1c8eeb4327c072c714c04074c73eea88bc391032f51911b24b70,2021-06,Humberside Police,Humberside Police,-0.084060,53.561978,On or near Sports/Recreation Area,E01013187,North East Lincolnshire 008A,Investigation complete; no suspect identified
d88adb8ff54e0a0c263bb30dd2639f5f27de6c61d532b2a951ad9517d57d61a0,2021-06,Humberside Police,Humberside Police,-0.113541,53.560792,On or near MARCUS STREET,E01033414,North East Lincolnshire 009E,Investigation complete; no suspect identified
cc40b1b536a6e800330e8777f2e9182ad9babd7366f96ca4c1e5d168e4b8cb2d,2021-06,Humberside Police,Humberside Police,-0.329163,53.788173,On or near STROUD CRESCENT WEST,E01012788,Kingston upon Hull 002E,Investigation complete; no suspect identified
c15be41f37e2c5a267e1f9df13c545e8c32938076412b45d5e03e8a4a3a15f98,2021-06,Humberside Police,Humberside Police,-0.128834,53.571119,On or near SERVICE ROAD 21,E01013144,North East Lincolnshire 004A,Investigation complete; no suspect identified
a932f725f8d54f8a5b4cfeb349a270132d3a503be50053b36ffd2bdab13650dd,2021-06,Humberside Police,Humberside Police,-0.203045,53.611092,On or near HADLEIGH ROAD,E01013174,North East Lincolnshire 001A,Investigation complete; no suspect identified
e44c56f9dd3de9af97305eb704afee4a232780dc896815e8919f39e8b0c5d089,2021-06,Humberside Police,Humberside Police,-0.626462,53.558676,On or near MIMOSA COURT,E01033296,North Lincolnshire 018F,Investigation complete; no suspect identified
a9d9dd8511db80d825d5636554a0e4864a6b1b6b79943ad21cec5391ce9c5f9f,2021-06,Humberside Police,Humberside Police,-0.375482,53.731073,On or near Shopping Area,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
f39b14ba3e9fd1c909a2f9a5ab57c3e92e8db8817ca3cfced54c76fe82fefcae,2021-06,Humberside Police,Humberside Police,-0.016072,53.549587,On or near Parking Area,E01013151,North East Lincolnshire 017B,Investigation complete; no suspect identified
a94f834f2ac139db329a644e63f37683e9c3129a00cc6b81616e877f01d47212,2021-06,Humberside Police,Humberside Police,-0.375482,53.731073,On or near Shopping Area,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
c371424c457c639ad2d899d35127f000a7d472653d10c4a95d6deffb6d6e656d,2021-06,Humberside Police,Humberside Police,-0.375482,53.731073,On or near Shopping Area,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
9589552c2b0ac66916a2d1301178acb7c267f92e663d84f3f0f166658ab003da,2021-06,Humberside Police,Humberside Police,-0.375482,53.731073,On or near Shopping Area,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
1f435ea16832250f4ba3a89423557d49a22d94657928de34b084df8648322b54,2021-06,Humberside Police,Humberside Police,-0.345572,53.740345,On or near COGAN STREET,E01012854,Kingston upon Hull 029C,Investigation complete; no suspect identified
6d2afb26338234b95a98548ee6fa1008b364b758e0f6b93692d693e90e48e69e,2021-06,Humberside Police,Humberside Police,-0.373903,53.782172,On or near GREENWOOD AVENUE,E01012880,Kingston upon Hull 008C,Investigation complete; no suspect identified
da0fc0f1fe84893d9a544fae17204792df678fdd054ef6f9d6bbac053abdcd13,2021-06,Humberside Police,Humberside Police,-0.649116,53.566943,On or near MODDER STREET,E01013239,North Lincolnshire 017B,Investigation complete; no suspect identified
5e694e05e528e29bf4da24c9d693115598f239b78fd39ddb5620149f7e41df45,2021-06,Humberside Police,Humberside Police,-0.096794,53.575648,On or near Petrol Station,E01013218,North East Lincolnshire 003A,Investigation complete; no suspect identified
ad1f018140fac52e9c5a941ee43e67138861a23a2e245c615b2c70e87b16b37d,2021-06,Humberside Police,Humberside Police,-0.206604,54.083196,On or near BESSINGBY ROAD,E01012949,East Riding of Yorkshire 003E,Investigation complete; no suspect identified
97b848c6b7fc3ab4b216ca42524e684cbfd55706748128f869c591d9cf7b8b70,2021-06,Humberside Police,Humberside Police,-0.124351,53.546156,On or near BRADLEY ROAD,E01013207,North East Lincolnshire 015B,Investigation complete; no suspect identified
32176c8fea32da1d472bbf7f1ba168e9effbd1054e89a0725a23d57029664cb5,2021-06,Humberside Police,Humberside Police,-0.093766,53.566412,On or near VEAL STREET,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
8cef6546a9181c4b88a4ffaf588f4ad6daf4d54b4a8aae459f0b7ff6f4c7b864,2021-06,Humberside Police,Humberside Police,-0.312068,53.791251,On or near MANSTON GARTH,E01012784,Kingston upon Hull 004C,Investigation complete; no suspect identified
