Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
479a97406d425832659b3aad8d4a1052e662a274ca5ed2bfc3b5a5b8244a7db1,2021-04,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Investigation complete; no suspect identified
07591aa17b53fbd9dc0d426b67f4321fc6834df1aa2d45ca6535a75912b7593f,2021-04,Gwent Police,Gwent Police,-2.995280,51.585056,On or near TALBOT LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
dbfeb59047be280673935f6cc24ff463924b695afd784c89041290b7aa751257,2021-04,Gwent Police,Gwent Police,-3.052834,51.579770,On or near DUFFRYN CLOSE,W01001638,Newport 016C,Investigation complete; no suspect identified
959f60ceb059be956ac906392fd3910bd8a29d939ef55a7716f5f37e6ef5e70b,2021-04,Gwent Police,Gwent Police,-2.971550,51.587053,On or near CONWAY ROAD,W01001613,Newport 011C,Investigation complete; no suspect identified
b34c35f0135f5379c13071691ea30950fcac625290d50b432905811da0549ceb,2021-04,Gwent Police,Gwent Police,-2.761984,51.587135,On or near MASEFIELD ROAD,W01001598,Monmouthshire 010F,Investigation complete; no suspect identified
bced2c260b9dd9ea26d9fdbbb883c4559787e898fbed14fd8de34bffd7183796,2021-04,Gwent Police,Gwent Police,-3.024918,51.677612,On or near GLENCOURT,W01001517,Torfaen 006D,Investigation complete; no suspect identified
38485dddc8d2dc940ebd27f10844cee806e89141f140c000ec0b1e4b6c9c42f7,2021-04,Gwent Police,Gwent Police,-3.040935,51.584507,On or near HILLSIDE CRESCENT,W01001674,Newport 009E,Investigation complete; no suspect identified
606e62e29edb94820251a0ba7040c4cbd4337c68d1208d2edb9bd2b6bfcab6f2,2021-04,Gwent Police,Gwent Police,-2.980700,51.589665,On or near SPEKE STREET,W01001691,Newport 011D,Investigation complete; no suspect identified
fdf9927d4608b12170462e49bb8b0c16bf160364f3203606f73ca96a3b92e4d2,2021-04,Gwent Police,Gwent Police,-3.021543,51.678037,On or near SHERBOURNE ROAD,W01001517,Torfaen 006D,Investigation complete; no suspect identified
29a582b4a32c696ca70c951b148b2478b122c1a5cd6705a3b1669e3d2c20e148,2021-04,Gwent Police,Gwent Police,-3.099702,51.603393,On or near Parking Area,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
b493882900288043d5dd20de450468a0ae5b88d387d1f157ab0b86c0682c0da2,2021-04,Gwent Police,Gwent Police,-3.231495,51.566161,On or near PEN-YR-ALLT,W01001427,Caerphilly 024F,Investigation complete; no suspect identified
93bc49374546e6212d0131f6197a31c89c5d7bd0279f9ae562fea362d71856dc,2021-04,Gwent Police,Gwent Police,-2.965809,51.580419,On or near COLSTON COURT,W01001642,Newport 013A,Investigation complete; no suspect identified
b59c0783e38ff51e54f50e3c7c85ca9c29e0c5a3ee3954eb50778aed6fbd8942,2021-04,Gwent Police,Gwent Police,-2.717288,51.811633,On or near NAILER'S LANE,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
c759f66145a2d8769f2053598e534bbfb09429f1523205708480e349e8af5af9,2021-04,Gwent Police,Gwent Police,-3.066625,51.738940,On or near TY-ROSSER-GWYN,W01001483,Torfaen 002B,Investigation complete; no suspect identified
045abd83b11398e3fe8cd272661f70763ac6761d779f715e8da9e5451bc1fb00,2021-04,Gwent Police,Gwent Police,-2.717288,51.811633,On or near NAILER'S LANE,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
9afffdaf02d7c4cf32a469ee724c2cc995bf6b07dc8473fa58c7d607b27f4875,2021-04,Gwent Police,Gwent Police,-3.236664,51.637511,On or near Sports/Recreation Area,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
335f79b4c7e09ad753570de85fffe1f80ee433da4296ba79d3fc4eda2e15e449,2021-04,Gwent Police,Gwent Police,-3.020324,51.668831,On or near PONTRHYDYRUN ROAD,W01001520,Torfaen 007B,Investigation complete; no suspect identified
31af85688eb03748327e9a1ead05bd2fd109b004b99a73259b3a7ca16c0e7a4a,2021-04,Gwent Police,Gwent Police,-3.012860,51.835740,On or near CHARLES CRESCENT,W01001909,Monmouthshire 002F,Investigation complete; no suspect identified
f1f7fb97d03fa797cde73b244b0705010d38e87ddeb59fb602c83dc7bd61b9f9,2021-04,Gwent Police,Gwent Police,-2.904755,51.702723,On or near BRIDGE STREET,W01001597,Monmouthshire 006F,Investigation complete; no suspect identified
c19f1286e0fb3f4970723f54c04a5ea122e5013ffcb891c42bbde4c63ade8cd3,2021-04,Gwent Police,Gwent Police,-3.055079,51.713922,On or near HEOL RHYDD-DAL,W01001529,Torfaen 003B,Investigation complete; no suspect identified
fe754d41485e959ec8065dcade068c13f6c2cece1a4c032cdaf04c1ab211a25d,2021-04,Gwent Police,Gwent Police,-2.995998,51.586227,On or near SCHOOL LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
5971857fff5ccb61db0651f3022f2d4a154504b1effc27446f0e4fd1e43ac17a,2021-04,Gwent Police,Gwent Police,-3.017613,51.823839,On or near PRIORY LANE,W01001579,Monmouthshire 001E,Investigation complete; no suspect identified
185efb99ffc83ab7723926eda97c4d9b68e7ac8458e5fef4732b10dfa7f477e1,2021-04,Gwent Police,Gwent Police,-3.239332,51.580043,On or near A468,W01001395,Caerphilly 023C,Investigation complete; no suspect identified
9d0ab220c0450cc84b7c12d40105d67115683feaf64dcfe27ec92403eb2221de,2021-04,Gwent Police,Gwent Police,-2.813778,51.576924,On or near CROSSWAYS CLOSE,W01001591,Monmouthshire 011E,Investigation complete; no suspect identified
61ea364524e1e40476566f64a7037cffae387d394ad384117e6e21b2d8807d15,2021-04,Gwent Police,Gwent Police,-3.232644,51.716194,On or near PHILLIPS STREET,W01001385,Caerphilly 002D,Investigation complete; no suspect identified
62eefd59a06776b1dc694d39f96e8a62cfc883405541509df96461d0f8386c53,2021-04,Gwent Police,Gwent Police,-2.812349,51.773225,On or near Petrol Station,W01001581,Monmouthshire 005E,Investigation complete; no suspect identified
f7a0f7885b21001f0404bd17e95ef326ebd2e3f2161fc097995addec74d866c4,2021-04,Gwent Police,Gwent Police,-3.036898,51.649974,On or near Pedestrian Subway,W01001526,Torfaen 010B,Investigation complete; no suspect identified
f504e32ecbe49441a5426dee035abb0ae20d8e74e59b3e13b068f8c4d0b1b7df,2021-04,Gwent Police,Gwent Police,-3.030738,51.558062,On or near IMPERIAL WAY,W01001688,Newport 019C,Investigation complete; no suspect identified
ea6316d7ae71be48594757b00de2f6a2995cda10806c71bc6feac015c1f30a73,2021-04,Gwent Police,Gwent Police,-3.009226,51.572177,On or near Supermarket,W01001629,Newport 017A,Investigation complete; no suspect identified
53e38e6d4f6dcfd50db4abcb0e51881384bcdad9578273c1d7739719a21683f8,2021-04,Gwent Police,Gwent Police,-2.972858,51.588112,On or near ROCHESTER ROAD,W01001613,Newport 011C,Investigation complete; no suspect identified
3d68de5a020c9261869a33ff4195d30c3d987424afa932b7d2cb024be7ccd837,2021-04,Gwent Police,Gwent Police,-3.019172,51.654877,On or near Parking Area,W01001506,Torfaen 010A,Investigation complete; no suspect identified
37288dac5cb66cd80347883c37823f3d8059587051e7f7dde0aaa04ed3377477,2021-04,Gwent Police,Gwent Police,-3.210491,51.676960,On or near BEDWELLTY ROAD,W01001387,Caerphilly 007C,Investigation complete; no suspect identified
7c5c160158f8d4e28448f8b8b4bd45a7f3018aa7c60a60d1307e4e2f5b5c1a02,2021-04,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Investigation complete; no suspect identified
1e5e875ed7a248743b934d8aa2a5d4f45b4ff7860073e59fb4e5a2deec2bed0c,2021-04,Gwent Police,Gwent Police,-3.006712,51.597519,On or near ALLT-YR-YN WAY,W01001600,Newport 012A,Investigation complete; no suspect identified
24c9a3335cb4fc7e5e6920316c99f410e3cdb85c418427456cbeae74e521be5e,2021-04,Gwent Police,Gwent Police,-2.825319,51.579909,On or near THE WILLOWS,W01001573,Monmouthshire 011B,Investigation complete; no suspect identified
8713441800f20f5c8c3f418764762cdc183f13a1fb1a5b65adbe37ac8a55da19,2021-04,Gwent Police,Gwent Police,-2.904755,51.702723,On or near BRIDGE STREET,W01001597,Monmouthshire 006F,Investigation complete; no suspect identified
cc3052091c1f34f68131b25214973e129260f4142860714188a3345b271b91cb,2021-04,Gwent Police,Gwent Police,-2.944981,51.579564,On or near SPYTTY ROAD,W01001646,Newport 015E,Investigation complete; no suspect identified
0a9f9247d37e22f76146b7c58f18f2b0168d15a9d819e7dc7e492d95105f88b1,2021-04,Gwent Police,Gwent Police,-3.066113,51.742406,On or near GWYN CRESCENT,W01001482,Torfaen 002A,Investigation complete; no suspect identified
9511e512cce674781988491bbb845809a3f10704263665676b40b0587055c52b,2021-04,Gwent Police,Gwent Police,-3.055804,51.714005,On or near MACHINE MEADOW,W01001529,Torfaen 003B,Investigation complete; no suspect identified
eae2fd4992c7d5468e0094fac6d864662ccc0ab9e177f2ac5853cc8f2e9fbbd1,2021-04,Gwent Police,Gwent Police,-3.020694,51.653146,On or near Pedestrian Subway,W01001506,Torfaen 010A,Investigation complete; no suspect identified
6f09bc7a5ee8e36cdbf508a1d178072bf766f1dd875911c0a0667dcb28417b1e,2021-04,Gwent Police,Gwent Police,-3.040680,51.714689,On or near PRICE CLOSE,W01001530,Torfaen 003C,Investigation complete; no suspect identified
431c7613bf3b66f7d656bd48882de6e6972b06c49719581b1fd8b358f88d7c85,2021-04,Gwent Police,Gwent Police,-3.050936,51.711900,On or near Sports/Recreation Area,W01001531,Torfaen 003D,Investigation complete; no suspect identified
