Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2b926a7ab5df71480b53f36b0c761eb2ec5ed8ca3bab287cc967488cd088c02d,2021-05,Gwent Police,Gwent Police,-3.174165,51.793895,On or near BARLEY FIELD ROAD,W01001448,Blaenau Gwent 002C,Investigation complete; no suspect identified
d47bf24fef8009e2a8956d1c2cb09f430b77be9f1ec2fd809a8c253bee546158,2021-05,Gwent Police,Gwent Police,-3.230313,51.667637,On or near PWLL TY ALLT,W01001415,Caerphilly 008B,Investigation complete; no suspect identified
39f102feb45fbc83d868ba0d353e44a7843a765475acc6ab69797ab2a347b863,2021-05,Gwent Police,Gwent Police,-3.235332,51.785581,On or near BRYN PICA,W01001473,Blaenau Gwent 003B,Investigation complete; no suspect identified
538160c39bf47fdeb32bcb3e5c1eee5a59af8865f281aafc42e4a14864a7a0e2,2021-05,Gwent Police,Gwent Police,-2.992071,51.590828,On or near CLARENCE PLACE,W01001693,Newport 013E,Investigation complete; no suspect identified
16ae3c221894e88ae8888ff22a753527bc3d2abdf3ced3de236a04deeda5ff63,2021-05,Gwent Police,Gwent Police,-3.041238,51.703058,On or near Shopping Area,W01001524,Torfaen 004D,Investigation complete; no suspect identified
fc1b1c41897039cf70c4e726c8599c31a159147fd75334d169dacfb7e77ac766,2021-05,Gwent Police,Gwent Police,-3.014928,51.618255,On or near GRAHAM BELL CLOSE,W01001652,Newport 002B,Investigation complete; no suspect identified
33f2cdefa5bc9bed891123c41b792826e1979c53b3b30c49a76be1eebc04dd16,2021-05,Gwent Police,Gwent Police,-3.176089,51.797095,On or near Bus/Coach Station,W01001467,Blaenau Gwent 005D,Investigation complete; no suspect identified
e43b26e7f14d1ea6739ea816f8df647a85105e818c507602516dfbc1546bccd4,2021-05,Gwent Police,Gwent Police,-3.027387,51.685727,On or near EDWARD STREET,W01001514,Torfaen 006A,Investigation complete; no suspect identified
5afe0351af5ddca52e53a2487a01bd88cfc56e03c43849d76e3933b27c68a302,2021-05,Gwent Police,Gwent Police,-3.034772,51.608659,On or near DARENT CLOSE,W01001619,Newport 003C,Investigation complete; no suspect identified
d836d862cf4bd85b54ab3ba6933b14262a7b610ddc60419388af5b8f91fe54f0,2021-05,Gwent Police,Gwent Police,-3.246168,51.772132,On or near CASTLE STREET,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
71dcaa3f47504eb6f6a46d999cb276ce77964c6a93f09989e09fdab9c6de566b,2021-05,Gwent Police,Gwent Police,-3.206903,51.706283,On or near ABERNANT ROAD,W01001334,Caerphilly 005A,Investigation complete; no suspect identified
f7911e2fcd57382b78d5cffbbc674bb4d501c18f357d3eff30b6eee68dde6185,2021-05,Gwent Police,Gwent Police,-2.971676,51.891285,On or near Sports/Recreation Area,W01001548,Monmouthshire 001B,Investigation complete; no suspect identified
f876422661fc39ed1b29bcfef5382fcb17c33087ab725ebabd443857e851f2df,2021-05,Gwent Police,Gwent Police,-2.698831,51.809398,On or near BLAKE STREET,W01001599,Monmouthshire 004F,Investigation complete; no suspect identified
1284f8bd15f34fc4b0e6588c189d3d0101ccf966eb5f412fbe622e1aeb58ec28,2021-05,Gwent Police,Gwent Police,-2.983658,51.598290,On or near ORCHARD MEWS,W01001675,Newport 007A,Investigation complete; no suspect identified
41dbb4396e26fe70b7ab957cf719dba8c53900195dd1800d4d43283302452440,2021-05,Gwent Police,Gwent Police,-2.946312,51.577638,On or near Petrol Station,W01001646,Newport 015E,Investigation complete; no suspect identified
8e0b9f2b957798d637c1733517c59342d93adbb5d269d06a2bd2881bc1672334,2021-05,Gwent Police,Gwent Police,-3.291210,51.648010,On or near CWM EITHIN,W01001379,Caerphilly 013C,Investigation complete; no suspect identified
e570da5e646f9820778c6cdb22e2af5a29ca0ee2d7ee621b95b8a30885242eda,2021-05,Gwent Police,Gwent Police,-2.943894,51.575877,On or near Supermarket,W01001646,Newport 015E,Investigation complete; no suspect identified
1a6f3e639bd1853d9d7d41122f567bc1fae44a19dd97842673089fa349218b29,2021-05,Gwent Police,Gwent Police,-3.231678,51.605993,On or near PENCERRIG STREET,W01001368,Caerphilly 019C,Investigation complete; no suspect identified
95dfb927e4c8158f12b8c0b0fe3e2ebfdf44b7378e4cdcaa195c9d44660dce56,2021-05,Gwent Police,Gwent Police,-2.993927,51.581911,On or near QUEEN STREET,W01001687,Newport 014D,Investigation complete; no suspect identified
